年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,2.菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品,區域
2012,基隆市,"148,277",2.92,2.4,1.27,1.62,"955,197","660,931","115,689","12,038","27,264","136,136","19,873","106,457","59,270","22,693","37,206","22,620","68,034","43,631","11,662","10,158","5,314","10,072",北部
2012,新竹市,"147,214",3.29,2.6,1.5,1.81,"1,439,066","935,237","122,908","11,692","26,821","233,789","32,327","132,490","94,866","29,655","57,670","42,643","99,403","50,974","25,479","13,575","4,916","13,700",北部
2012,嘉義市,"96,556",3.04,2.35,1.31,1.54,"1,095,203","686,120","102,565","8,684","19,041","167,767","18,139","92,337","60,030","21,278","37,284","36,555","84,308","38,130","15,321","10,002","5,098","6,863",南部
2013,新北市,"1,465,941",3.27,2.63,1.5,1.75,"1,129,598","750,687","105,359","8,647","25,463","199,945","17,797","94,828","64,343","29,948","40,467","36,718","86,444","40,728","15,369","12,227","5,530","7,342",北部
2013,台北市,"1,021,435",3.13,2.63,1.33,1.69,"1,545,415","1,001,798","149,101","7,423","28,670","301,708","28,088","121,531","73,623","31,984","72,068","35,299","87,337","64,968","40,534","14,224","6,570","10,739",北部
2013,桃園市,"889,989",3.29,2.59,1.52,1.73,"1,126,875","781,899","112,170","8,165","24,897","178,981","15,182","123,811","81,437","27,803","43,339","36,273","87,576","42,266","17,850","11,869","6,392","7,228",北部
2013,台中市,"659,561",3.18,2.53,1.51,1.69,"996,434","654,843","105,934","9,146","17,047","136,748","16,067","110,184","67,914","23,090","28,445","31,347","71,426","37,496","10,886","7,704","4,734","5,121",中部
2013,台南市,"1,050,752",3.1,2.54,1.44,1.7,"1,107,383","709,823","100,782","8,440","17,552","158,761","16,318","118,574","73,395","24,880","33,627","29,983","90,151","37,358","15,391","8,875","4,169","5,192",南部
2013,高雄市,"159,807",3.05,2.36,1.26,1.6,"979,013","668,544","113,773","11,602","18,396","135,603","14,443","127,982","72,409","23,547","29,049","24,534","57,848","39,359","12,203","7,254","4,557","5,034",南部
2013,宜蘭縣,"708,149",3.56,2.75,1.61,1.89,"1,257,146","832,626","142,938","10,610","26,850","197,579","19,399","96,691","92,222","31,352","37,037","40,347","88,516","49,085","13,267","10,885","5,777","7,108",北部
2013,新竹縣,"172,418",3.42,2.59,1.61,1.83,"1,346,768","858,781","112,920","8,797","25,758","199,255","27,353","104,262","106,018","27,645","50,414","49,514","94,389","52,456","22,681","13,459","6,083","8,191",北部
2013,苗栗縣,"179,484",3.24,2.54,1.44,1.7,"1,020,185","621,582","92,684","9,641","18,339","150,747","17,734","99,643","77,934","23,977","26,541","30,328","44,089","29,925","8,821","8,665","3,733","5,322",中部
2013,彰化縣,"373,945",3.35,2.67,1.62,1.69,"936,595","577,658","102,773","7,507","15,755","121,423","10,077","95,968","70,839","19,620","24,173","32,477","50,825","26,221","9,251","5,962","4,760","4,200",中部
2013,南投縣,"174,926",3.07,2.47,1.45,1.62,"896,557","584,190","101,785","10,470","18,214","121,383","11,796","112,297","65,294","19,484","21,601","24,570","50,058","27,238","7,176","6,699","4,219","3,507",中部
2013,雲林縣,"235,810",2.87,2.34,1.32,1.47,"838,094","522,661","73,960","8,572","13,127","108,179","15,123","114,897","57,713","17,494","20,139","20,543","46,556","26,358","6,070","6,029","3,218","4,822",中部
2013,嘉義縣,"180,202",3.07,2.45,1.38,1.62,"858,253","616,718","118,387","14,950","18,690","103,443","12,167","120,907","71,943","17,231","25,047","22,210","59,633","32,110","9,504","6,303","4,772","4,467",南部
2013,屏東縣,"281,553",3.11,2.46,1.5,1.54,"861,063","545,713","75,181","10,218","14,199","105,127","13,766","95,430","53,156","20,692","27,637","25,844","65,848","38,616","9,305","7,833","4,037","6,462",南部
2013,台東縣,"81,482",2.54,1.99,1.09,1.44,"799,026","478,531","70,559","14,182","13,820","111,771","11,685","93,061","45,674","17,927","20,064","13,655","42,396","23,738","8,048","5,242","2,876","3,899",東部
2013,花蓮縣,"123,004",2.91,2.27,1.18,1.53,"966,607","554,525","85,252","10,699","14,017","125,331","14,613","100,459","57,021","22,022","25,200","21,497","49,913","28,500","9,765","6,827","3,476","5,132",東部
2013,澎湖縣,"36,364",2.82,2.3,1.11,1.55,"922,916","514,077","88,761","11,510","21,235","112,737","10,210","103,778","44,175","19,648","22,424","15,845","40,603","23,151","9,489","6,982","2,306","3,647",離島
2013,基隆市,"149,091",2.9,2.44,1.29,1.59,"1,002,341","719,698","123,360","12,357","28,433","157,701","19,873","106,457","66,412","23,307","40,422","20,086","76,083","45,204","14,368","12,705","4,542","8,807",北部
2013,新竹市,"150,366",3.39,2.6,1.54,1.87,"1,535,411","1,044,462","134,160","12,147","32,334","240,959","46,193","147,207","131,139","32,325","58,811","46,842","105,513","56,831","20,873","17,332","6,158","14,447",北部
2013,嘉義市,"97,361",3.29,2.58,1.48,1.8,"1,241,161","788,432","121,661","8,766","22,909","181,415","22,427","106,016","78,281","24,686","37,951","28,628","98,262","44,328","18,549","8,734","4,679","6,450",南部
2014,新北市,"1,486,716",3.25,2.65,1.51,1.79,"1,146,991","760,951","104,093","8,823","26,425","207,374","18,721","97,722","62,378","30,414","41,640","32,335","89,001","42,024","17,128","11,759","5,649","7,104",北部
2014,台北市,"1,031,465",3.13,2.59,1.34,1.7,"1,575,819","1,014,262","144,205","7,566","30,517","301,205","28,096","126,151","78,606","32,826","72,027","40,479","90,433","62,151","39,285","16,141","6,315","10,286",北部
2014,桃園市,"723,763",3.46,2.67,1.65,1.88,"1,327,963","821,381","126,349","11,333","25,664","201,904","20,077","98,089","86,032","30,717","44,067","37,085","91,784","48,280","21,488","10,953","4,994","6,633",北部
2014,台中市,"904,183",3.15,2.52,1.47,1.7,"1,152,523","786,285","106,296","9,572","25,816","183,513","17,708","121,299","80,936","27,886","43,592","36,488","91,391","41,790","18,426","12,015","6,197","6,953",中部
2014,台南市,"665,443",3.12,2.56,1.53,1.72,"991,990","674,797","108,452","7,796","16,582","146,677","14,989","112,953","69,702","24,145","28,228","30,004","80,461","34,807","10,720","8,520","4,278","4,710",南部
2014,高雄市,"1,059,475",3.05,2.49,1.44,1.7,"1,112,287","722,305","104,087","9,053","17,963","162,501","15,648","119,375","68,934","25,292","33,684","29,887","98,880","37,002","14,955","9,524","4,374","4,831",南部
2014,宜蘭縣,"161,730",3.17,2.55,1.3,1.67,"1,071,335","738,296","118,521","10,507","21,492","150,119","16,972","143,202","85,401","23,771","29,288","28,970","66,538","43,517","12,817","7,493","4,058","4,920",北部
2014,新竹縣,"176,832",3.49,2.69,1.65,1.87,"1,389,453","900,922","105,798","10,916","29,505","211,498","23,964","115,165","120,547","28,909","46,432","44,630","106,362","57,197","19,645","13,921","5,115","7,750",北部
2014,苗栗縣,"181,983",3.39,2.71,1.53,1.78,"1,100,084","649,705","101,441","12,290","20,010","144,250","16,445","107,901","75,627","26,520","29,454","29,734","55,137","30,894","12,545","8,645","3,308","4,957",中部
2014,彰化縣,"377,149",3.31,2.67,1.54,1.66,"940,572","594,464","101,613","7,840","16,962","126,034","13,058","99,802","63,829","21,746","25,499","35,481","55,037","27,564","10,353","6,231","5,164","3,752",中部
2014,南投縣,"175,808",3.03,2.46,1.37,1.57,"919,551","561,412","97,113","10,962","16,642","115,681","9,826","114,810","55,176","19,736","19,816","21,027","46,902","33,721","7,173","6,263","3,447","2,933",中部
2014,雲林縣,"237,254",2.85,2.34,1.29,1.54,"865,131","518,443","77,302","10,128","12,731","106,544","13,575","115,821","50,871","17,530","18,764","17,647","47,736","29,795","5,402","5,696","3,600","4,066",中部
2014,嘉義縣,"180,933",2.77,2.26,1.25,1.52,"789,406","567,649","109,097","11,912","15,636","100,968","12,172","119,129","59,886","16,518","18,367","18,368","60,467","25,128","5,883","5,598","3,712","3,174",南部
