年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,酒精飲料,菸草,衣著及鞋類,住屋及水電瓦斯等費用,家具設備及家務服務,醫療保健,交通及通訊,休閒與文化,教育,餐廳及旅館,什項消費
2021,花蓮縣,127594,2.46,2.09,1.07,1.54,1026488,603532.129982,90795.44099,8940.055652,13849.96206,139838.9001,11937.95935,149527.3503,50329.54746,20014.76888,14484.44363,10765.59104,60773.33723,32274.77329
2021,澎湖縣,41840,2.1,1.86,0.64,1.35,796484,498436.82233900006,98809.85924,6653.984427,13608.6683,105500.5514,13168.02623,141317.547,22925.26773,14701.43042,12792.23103,8693.353512,37108.63798,23157.26507
2021,基隆市,155737,2.61,2.33,1.14,1.67,1111556,725102.38495,120180.5735,11059.24963,29374.37129,157912.645,27819.37911,132365.4422,57619.23261,19722.09149,29698.6396,17439.24419,77324.44794,44587.06839
2021,新竹市,172450,3.07,2.56,1.39,1.79,1602415,1000175.7695,162759.2352,10086.1428,27239.14245,264155.9767,38616.38577,148203.6484,75301.4096,25915.1031,34136.25113,43759.15151,124974.4913,45028.83154
2021,嘉義市,101345,2.71,2.41,1.24,1.65,1217617,759840.7813599999,132782.0115,10937.27934,20250.10774,156334.3132,20180.78104,137601.078,70367.47596,21791.76455,18961.60809,18587.47084,112975.6159,39071.2752
2022,新北市,1622976,2.82,2.45,1.38,1.88,1421385,834596.067734,103240.8542,8490.994494,25777.86191,234607.9806,26145.53784,144989.7499,62489.84534,25976.45311,30618.76745,26704.16386,109911.0232,35642.83583
2022,台北市,1041655,2.71,2.43,1.24,1.9,1752411,1096896.1621380001,151765.2632,7532.811778,27802.19942,321361.6196,39225.41914,170104.5274,64842.28059,24754.85292,48503.00421,31092.90404,157533.6054,52377.67444
2022,桃園市,866529,3.06,2.52,1.45,1.86,1449549,888146.88594,127509.0593,10386.76924,26598.48794,215899.8462,22204.48229,143626.5841,93902.38029,27241.61032,25021.99329,29155.06096,123705.7745,42894.83751
2022,台中市,1022349,2.91,2.46,1.38,1.77,1338826,896252.2655180001,123185.7678,7784.862438,26634.87834,224215.0861,22490.59892,155480.9537,88730.56218,24893.9754,29045.57589,30048.08543,116769.4041,46972.51522
2022,台南市,711543,2.79,2.36,1.37,1.69,1143699,726637.49007,110738.307,7318.39005,17430.33879,159163.9461,18059.66777,130978.3875,68561.40918,21435.46985,18971.55504,23861.50336,113832.7927,36285.72273
2022,高雄市,1129734,2.8,2.37,1.34,1.71,1263068,849073.4470329997,118306.7857,8511.300483,20008.61395,191774.5938,26081.58293,152531.3087,75799.17248,23981.44369,24550.87718,25926.06992,137605.5426,43996.1556
2022,宜蘭縣,174726,2.81,2.41,1.13,1.68,1165558,763548.5916400001,123394.3841,11125.41882,20129.25171,159864.5878,26767.35119,144833.6177,74095.86392,22293.70958,19591.70472,19688.61569,92134.22256,49629.86385
2022,新竹縣,212370,3.2,2.67,1.44,1.88,1702134,972902.9766899999,117236.3712,10884.70267,25559.98289,221182.5957,30489.24066,161947.1862,125419.494,29860.36353,31380.57284,40785.66349,121217.3735,56939.43001
2022,苗栗縣,195947,2.85,2.48,1.35,1.76,1273250,679659.8132000002,104091.7496,10887.58532,19756.21891,142975.6637,23590.11933,119427.7859,87188.78876,23646.5722,19188.3822,19595.75595,71058.27349,38252.91784
2022,彰化縣,400502,2.96,2.53,1.43,1.76,1108221,642327.841304,112889.8084,6410.979614,17690.91076,136411.8877,17080.05228,136029.657,59781.49458,20295.69516,17544.81088,22981.53856,63765.41755,31445.58882
2022,南投縣,179601,2.93,2.53,1.42,1.77,1048879,665174.3917800001,108916.4711,10453.51479,19338.25113,128375.6452,16172.28088,154034.2458,59169.04329,21639.04203,17442.1322,17325.67562,72658.36219,39649.72755
2022,雲林縣,244767,2.66,2.33,1.23,1.57,1016913,609404.236478,90332.85698,8735.435028,13985.89615,104757.5906,17791.57612,171373.5264,54547.03996,18724.59263,13726.5471,13238.92996,62113.71007,40076.53548
2022,嘉義縣,185092,2.54,2.28,1.08,1.58,891498,571503.2477000001,112001.0743,14325.90752,10090.85596,90182.71895,12076.0977,134091.7415,61736.29898,17064.03856,10726.9583,12018.77985,71581.22326,25607.55282
2022,屏東縣,294025,2.76,2.36,1.38,1.7,1083933,694854.857561,112406.9471,8603.091181,16329.70158,116596.8489,17979.56968,141128.0098,62729.95292,22817.60568,18116.11255,15516.49989,125905.8581,36724.66018
2022,台東縣,84072,2.42,2.01,1.08,1.49,916928,564659.7591350001,92190.54786,15221.36275,9802.00694,139647.0733,8455.270553,124210.8107,45897.22445,18590.93852,10673.97902,9810.120512,68068.64248,22091.78205
2022,花蓮縣,127840,2.35,2.09,1.05,1.61,1010041,570808.710807,86172.64833,9186.714268,12146.9631,140536.0518,14819.06554,137888.381,42491.17006,20490.56976,13726.27591,6920.355019,61125.10004,25305.41598
2022,澎湖縣,42205,2.21,1.98,0.85,1.48,919357,538430.015043,125032.1292,8797.265253,12103.66304,110363.7604,12885.52668,112243.979,34671.19672,15767.98817,13914.45447,10927.06074,47701.1942,34021.79717
2022,基隆市,156154,2.63,2.3,1.1,1.64,1099526,728266.2071299999,120737.2893,11662.65513,30012.85545,152671.2332,29038.22311,138235.3734,60521.91666,21489.87245,30223.14149,15442.21691,81023.49487,37207.93516
