年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,1.食品及非酒精飲料,2.酒精飲料,3.菸草,4.衣著及鞋類,5.住屋及水電瓦斯等費用,6.家具設備及家務服務,7.醫療保健,8.交通及通訊,9.休閒與文化,10.教育,11.餐廳及旅館,12.什項消費,(1)套裝旅遊(不含自助旅遊),(2)娛樂消遣及文化服務,(3)書報雜誌文具,(4)教育消遣康樂器材及其附屬品
2021,新竹市,"172,450",3.07,2.56,1.39,1.79,"1,602,415","1,000,176","162,759","10,086","27,239","264,156","38,616","148,204","75,301","25,915","34,136","43,759","124,974","45,029","4,192","15,372","4,503","10,070"
2021,嘉義市,"101,345",2.71,2.41,1.24,1.65,"1,217,617","759,841","132,782","10,937","20,250","156,334","20,181","137,601","70,367","21,792","18,962","18,587","112,976","39,071",984,"9,588","2,810","5,580"
2022,新北市,"1,622,976",2.82,2.45,1.38,1.88,"1,421,385","834,596","103,241","8,491","25,778","234,608","26,146","144,990","62,490","25,976","30,619","26,704","109,911","35,643","3,776","13,543","3,510","9,789"
2022,台北市,"1,041,655",2.71,2.43,1.24,1.90,"1,752,411","1,096,896","151,765","7,533","27,802","321,362","39,225","170,105","64,842","24,755","48,503","31,093","157,534","52,378","12,489","18,542","4,122","13,349"
2022,桃園市,"866,529",3.06,2.52,1.45,1.86,"1,449,549","888,147","127,509","10,387","26,598","215,900","22,204","143,627","93,902","27,242","25,022","29,155","123,706","42,895","2,121","11,331","4,078","7,492"
2022,台中市,"1,022,349",2.91,2.46,1.38,1.77,"1,338,826","896,252","123,186","7,785","26,635","224,215","22,491","155,481","88,731","24,894","29,046","30,048","116,769","46,973","4,488","12,402","4,022","8,133"
2022,台南市,"711,543",2.79,2.36,1.37,1.69,"1,143,699","726,637","110,738","7,318","17,430","159,164","18,060","130,978","68,561","21,435","18,972","23,862","113,833","36,286","2,266","9,153","2,807","4,746"
2022,高雄市,"1,129,734",2.80,2.37,1.34,1.71,"1,263,068","849,073","118,307","8,511","20,009","191,775","26,082","152,531","75,799","23,981","24,551","25,926","137,606","43,996","2,592","11,466","3,217","7,276"
2022,宜蘭縣,"174,726",2.81,2.41,1.13,1.68,"1,165,558","763,549","123,394","11,125","20,129","159,865","26,767","144,834","74,096","22,294","19,592","19,689","92,134","49,630","2,395","9,697","2,343","5,157"
2022,新竹縣,"212,370",3.20,2.67,1.44,1.88,"1,702,134","972,903","117,236","10,885","25,560","221,183","30,489","161,947","125,419","29,860","31,381","40,786","121,217","56,939","3,321","13,244","4,178","10,637"
2022,苗栗縣,"195,947",2.85,2.48,1.35,1.76,"1,273,250","679,660","104,092","10,888","19,756","142,976","23,590","119,428","87,189","23,647","19,188","19,596","71,058","38,253","1,769","8,897","2,922","5,601"
2022,彰化縣,"400,502",2.96,2.53,1.43,1.76,"1,108,221","642,328","112,890","6,411","17,691","136,412","17,080","136,030","59,781","20,296","17,545","22,982","63,765","31,446","2,302","6,820","3,846","4,577"
2022,南投縣,"179,601",2.93,2.53,1.42,1.77,"1,048,879","665,174","108,916","10,454","19,338","128,376","16,172","154,034","59,169","21,639","17,442","17,326","72,658","39,650","2,176","8,224","2,673","4,369"
2022,雲林縣,"244,767",2.66,2.33,1.23,1.57,"1,016,913","609,404","90,333","8,735","13,986","104,758","17,792","171,374","54,547","18,725","13,727","13,239","62,114","40,077","1,213","7,426","2,190","2,897"
2022,嘉義縣,"185,092",2.54,2.28,1.08,1.58,"891,498","571,503","112,001","14,326","10,091","90,183","12,076","134,092","61,736","17,064","10,727","12,019","71,581","25,608","1,383","5,936","1,370","2,038"
2022,屏東縣,"294,025",2.76,2.36,1.38,1.70,"1,083,933","694,855","112,407","8,603","16,330","116,597","17,980","141,128","62,730","22,818","18,116","15,516","125,906","36,725","2,620","8,896","2,432","4,168"
2022,台東縣,"84,072",2.42,2.01,1.08,1.49,"916,928","564,660","92,191","15,221","9,802","139,647","8,455","124,211","45,897","18,591","10,674","9,810","68,069","22,092","1,095","5,357","1,540","2,682"
2022,花蓮縣,"127,840",2.35,2.09,1.05,1.61,"1,010,041","570,809","86,173","9,187","12,147","140,536","14,819","137,888","42,491","20,491","13,726","6,920","61,125","25,305","1,711","7,063","1,284","3,669"
2022,澎湖縣,"42,205",2.21,1.98,0.85,1.48,"919,357","538,430","125,032","8,797","12,104","110,364","12,886","112,244","34,671","15,768","13,914","10,927","47,701","34,022",756,"8,220","1,024","3,915"
2022,基隆市,"156,154",2.63,2.30,1.10,1.64,"1,099,526","728,266","120,737","11,663","30,013","152,671","29,038","138,235","60,522","21,490","30,223","15,442","81,023","37,208","3,940","12,559","3,975","9,749"
2022,新竹市,"174,515",2.99,2.44,1.26,1.79,"1,722,889","1,058,294","145,001","9,159","26,684","290,277","25,585","165,672","93,705","27,594","31,694","47,856","145,188","49,881","3,422","15,817","3,502","8,953"
2022,嘉義市,"101,826",2.63,2.28,1.14,1.60,"1,282,798","731,351","105,733","7,934","16,548","160,621","21,170","141,823","61,951","21,111","19,269","22,616","115,264","37,310","1,616","10,179","2,846","4,628"
2023,新北市,"1,655,751",2.72,2.44,1.33,1.87,"1,440,893","856,018","107,691","7,775","25,490","235,873","27,757","148,485","61,106","25,216","39,231","25,756","115,510","36,128","12,825","14,048","3,228","9,130"
2023,台北市,"1,059,757",2.68,2.46,1.27,1.95,"1,751,823","1,093,879","154,135","6,625","27,047","310,442","41,694","167,120","65,873","23,970","60,310","26,215","160,317","50,131","25,413","18,047","3,512","13,339"
2023,桃園市,"891,027",3.03,2.60,1.44,1.90,"1,490,814","917,541","137,466","10,401","26,248","213,208","21,501","146,845","95,089","27,819","33,038","30,546","127,197","48,183","10,637","12,032","3,867","6,503"
2023,台中市,"1,047,164",2.83,2.46,1.38,1.79,"1,346,521","915,475","119,810","8,457","26,302","224,707","22,555","155,683","92,511","24,942","37,447","29,832","124,671","48,558","11,469","13,647","4,145","8,159"
2023,台南市,"721,550",2.81,2.48,1.39,1.75,"1,177,168","764,143","115,001","8,661","17,540","163,894","17,524","146,000","72,430","23,161","23,807","23,219","117,777","35,129","5,988","9,649","2,737","5,432"
2023,高雄市,"1,144,005",2.78,2.45,1.35,1.78,"1,325,786","880,663","126,337","7,820","20,980","197,966","23,942","162,510","81,764","24,252","31,894","25,723","135,401","42,074","9,936","12,463","3,176","6,318"
2023,宜蘭縣,"177,238",2.64,2.30,1.01,1.58,"1,114,997","754,252","136,705","11,407","19,187","160,647","27,522","154,115","67,834","19,722","20,851","15,153","78,229","42,880","6,584","7,486","2,159","4,623"
2023,新竹縣,"218,361",3.01,2.44,1.38,1.74,"1,846,263","1,068,365","117,126","8,943","31,373","277,612","31,057","141,170","143,793","28,074","44,213","55,899","129,026","60,079","7,949","17,839","2,159","13,093"
2023,苗栗縣,"198,022",3.02,2.64,1.41,1.85,"1,341,195","761,672","126,840","12,220","22,842","140,820","22,559","142,156","87,375","28,270","30,897","17,490","88,768","41,435","9,906","10,493","3,071","7,426"
2023,彰化縣,"404,247",2.94,2.58,1.43,1.77,"1,164,937","680,612","112,778","7,054","18,013","131,194","18,629","138,649","80,300","20,989","21,975","24,066","76,615","30,350","7,032","7,527","3,761","3,655"
2023,南投縣,"180,196",2.78,2.52,1.49,1.76,"1,069,123","622,161","108,576","11,017","14,666","115,227","17,478","145,227","58,351","20,068","17,558","10,843","68,944","34,206","4,629","7,514","2,136","3,279"
2023,雲林縣,"246,207",2.61,2.33,1.35,1.64,"1,087,755","637,551","88,163","9,146","15,438","111,840","18,194","165,202","58,562","21,421","20,156","14,201","71,724","43,504","3,291","9,398","2,327","5,140"
2023,嘉義縣,"185,790",2.55,2.30,1.16,1.56,"936,713","593,939","117,578","13,148","11,776","94,988","12,509","137,857","62,498","18,612","14,468","10,441","73,830","26,234","3,501","6,688","1,695","2,584"
2023,屏東縣,"296,396",2.73,2.38,1.39,1.70,"1,081,286","707,405","116,750","12,281","16,215","116,570","14,898","151,331","52,834","21,431","18,320","13,077","133,199","40,499","5,276","7,253","2,163","3,627"
2023,台東縣,"84,425",2.39,2.04,1.07,1.48,"930,467","614,097","89,622","15,926","11,668","150,453","11,240","126,616","61,313","19,964","16,720","9,759","69,358","31,458","6,508","6,630","1,575","2,006"
2023,花蓮縣,"128,496",2.36,2.09,1.05,1.51,"1,018,629","608,420","98,390","9,583","14,276","142,826","15,205","135,835","51,963","20,496","16,764","8,175","66,812","28,095","2,867","7,876","1,703","4,318"
2023,澎湖縣,"42,807",2.42,2.13,0.93,1.53,"1,060,432","608,997","119,624","6,702","14,043","132,581","15,032","148,409","33,643","19,168","23,015","12,051","53,336","31,393","4,070","9,880","1,423","7,642"
2023,基隆市,"158,167",2.67,2.37,1.19,1.72,"1,136,337","776,450","121,072","11,497","25,829","160,349","25,932","160,654","63,763","22,327","34,427","17,938","88,421","44,241","8,997","12,662","3,849","8,919"
2023,新竹市,"177,461",2.89,2.44,1.36,1.86,"1,851,383","1,082,394","159,028","11,378","25,121","284,008","25,971","147,900","93,417","28,045","52,795","39,014","148,389","67,328","18,363","20,415","4,509","9,508"
2023,嘉義市,"102,932",2.86,2.50,1.29,1.77,"1,348,030","878,567","124,137","8,753","22,203","178,917","26,803","156,564","64,666","26,707","31,347","28,319","169,736","40,415","11,584","9,124","3,312","7,326"
