年份,地區,休閒與文化類別,類別金額
2022,新竹市,書報雜誌文具,"3,502"
2022,嘉義市,書報雜誌文具,"2,846"
2023,新北市,書報雜誌文具,"3,228"
2023,台北市,書報雜誌文具,"3,512"
2023,桃園市,書報雜誌文具,"3,867"
2023,台中市,書報雜誌文具,"4,145"
2023,台南市,書報雜誌文具,"2,737"
2023,高雄市,書報雜誌文具,"3,176"
2023,宜蘭縣,書報雜誌文具,"2,159"
2023,新竹縣,書報雜誌文具,"2,159"
2023,苗栗縣,書報雜誌文具,"3,071"
2023,彰化縣,書報雜誌文具,"3,761"
2023,南投縣,書報雜誌文具,"2,136"
2023,雲林縣,書報雜誌文具,"2,327"
2023,嘉義縣,書報雜誌文具,"1,695"
2023,屏東縣,書報雜誌文具,"2,163"
2023,台東縣,書報雜誌文具,"1,575"
2023,花蓮縣,書報雜誌文具,"1,703"
2023,澎湖縣,書報雜誌文具,"1,423"
2023,基隆市,書報雜誌文具,"3,849"
2023,新竹市,書報雜誌文具,"4,509"
2023,嘉義市,書報雜誌文具,"3,312"
2020,新北市,教育消遣康樂器材及其附屬品,"7,796"
2020,台北市,教育消遣康樂器材及其附屬品,"12,261"
2020,桃園市,教育消遣康樂器材及其附屬品,"5,859"
2020,台中市,教育消遣康樂器材及其附屬品,"7,534"
2020,台南市,教育消遣康樂器材及其附屬品,"4,099"
2020,高雄市,教育消遣康樂器材及其附屬品,"5,877"
2020,宜蘭縣,教育消遣康樂器材及其附屬品,"5,684"
2020,新竹縣,教育消遣康樂器材及其附屬品,"11,463"
2020,苗栗縣,教育消遣康樂器材及其附屬品,"5,378"
2020,彰化縣,教育消遣康樂器材及其附屬品,"3,401"
2020,南投縣,教育消遣康樂器材及其附屬品,"4,382"
2020,雲林縣,教育消遣康樂器材及其附屬品,"3,435"
2020,嘉義縣,教育消遣康樂器材及其附屬品,"3,081"
2020,屏東縣,教育消遣康樂器材及其附屬品,"3,823"
2020,台東縣,教育消遣康樂器材及其附屬品,"2,319"
2020,花蓮縣,教育消遣康樂器材及其附屬品,"3,181"
2020,澎湖縣,教育消遣康樂器材及其附屬品,"3,594"
2020,基隆市,教育消遣康樂器材及其附屬品,"7,444"
2020,新竹市,教育消遣康樂器材及其附屬品,"8,298"
2020,嘉義市,教育消遣康樂器材及其附屬品,"5,884"
2021,新北市,教育消遣康樂器材及其附屬品,"8,425"
2021,台北市,教育消遣康樂器材及其附屬品,"12,952"
2021,桃園市,教育消遣康樂器材及其附屬品,"6,649"
2021,台中市,教育消遣康樂器材及其附屬品,"7,896"
2021,台南市,教育消遣康樂器材及其附屬品,"3,722"
2021,高雄市,教育消遣康樂器材及其附屬品,"5,685"
2021,宜蘭縣,教育消遣康樂器材及其附屬品,"5,981"
2021,新竹縣,教育消遣康樂器材及其附屬品,"14,715"
2021,苗栗縣,教育消遣康樂器材及其附屬品,"5,503"
2021,彰化縣,教育消遣康樂器材及其附屬品,"3,981"
2021,南投縣,教育消遣康樂器材及其附屬品,"4,351"
2021,雲林縣,教育消遣康樂器材及其附屬品,"3,932"
2021,嘉義縣,教育消遣康樂器材及其附屬品,"2,353"
2021,屏東縣,教育消遣康樂器材及其附屬品,"4,607"
2021,台東縣,教育消遣康樂器材及其附屬品,"2,360"
2021,花蓮縣,教育消遣康樂器材及其附屬品,"3,344"
2021,澎湖縣,教育消遣康樂器材及其附屬品,"4,343"
2021,基隆市,教育消遣康樂器材及其附屬品,"10,029"
2021,新竹市,教育消遣康樂器材及其附屬品,"10,070"
2021,嘉義市,教育消遣康樂器材及其附屬品,"5,580"
2022,新北市,教育消遣康樂器材及其附屬品,"9,789"
2022,台北市,教育消遣康樂器材及其附屬品,"13,349"
2022,桃園市,教育消遣康樂器材及其附屬品,"7,492"
2022,台中市,教育消遣康樂器材及其附屬品,"8,133"
2022,台南市,教育消遣康樂器材及其附屬品,"4,746"
2022,高雄市,教育消遣康樂器材及其附屬品,"7,276"
2022,宜蘭縣,教育消遣康樂器材及其附屬品,"5,157"
2022,新竹縣,教育消遣康樂器材及其附屬品,"10,637"
2022,苗栗縣,教育消遣康樂器材及其附屬品,"5,601"
2022,彰化縣,教育消遣康樂器材及其附屬品,"4,577"
2022,南投縣,教育消遣康樂器材及其附屬品,"4,369"
2022,雲林縣,教育消遣康樂器材及其附屬品,"2,897"
2022,嘉義縣,教育消遣康樂器材及其附屬品,"2,038"
2022,屏東縣,教育消遣康樂器材及其附屬品,"4,168"
2022,台東縣,教育消遣康樂器材及其附屬品,"2,682"
2022,花蓮縣,教育消遣康樂器材及其附屬品,"3,669"
2022,澎湖縣,教育消遣康樂器材及其附屬品,"3,915"
2022,基隆市,教育消遣康樂器材及其附屬品,"9,749"
2022,新竹市,教育消遣康樂器材及其附屬品,"8,953"
2022,嘉義市,教育消遣康樂器材及其附屬品,"4,628"
2023,新北市,教育消遣康樂器材及其附屬品,"9,130"
2023,台北市,教育消遣康樂器材及其附屬品,"13,339"
2023,桃園市,教育消遣康樂器材及其附屬品,"6,503"
2023,台中市,教育消遣康樂器材及其附屬品,"8,159"
2023,台南市,教育消遣康樂器材及其附屬品,"5,432"
2023,高雄市,教育消遣康樂器材及其附屬品,"6,318"
2023,宜蘭縣,教育消遣康樂器材及其附屬品,"4,623"
2023,新竹縣,教育消遣康樂器材及其附屬品,"13,093"
2023,苗栗縣,教育消遣康樂器材及其附屬品,"7,426"
2023,彰化縣,教育消遣康樂器材及其附屬品,"3,655"
2023,南投縣,教育消遣康樂器材及其附屬品,"3,279"
2023,雲林縣,教育消遣康樂器材及其附屬品,"5,140"
2023,嘉義縣,教育消遣康樂器材及其附屬品,"2,584"
2023,屏東縣,教育消遣康樂器材及其附屬品,"3,627"
2023,台東縣,教育消遣康樂器材及其附屬品,"2,006"
2023,花蓮縣,教育消遣康樂器材及其附屬品,"4,318"
2023,澎湖縣,教育消遣康樂器材及其附屬品,"7,642"
2023,基隆市,教育消遣康樂器材及其附屬品,"8,919"
2023,新竹市,教育消遣康樂器材及其附屬品,"9,508"
2023,嘉義市,教育消遣康樂器材及其附屬品,"7,326"
